mid_date, v [m/yr], satellite, dt (days)
2019-02-12,3653, Sentinel 1,12
2018-05-18,3693, Sentinel 1,12
2016-08-04,3323, Sentinel 1,12
2018-09-10,3788, Sentinel 1,12
2020-01-23,3630, Sentinel 1,6
2019-12-27,3458, Sentinel 1,12
2018-01-17,4021, Sentinel 1,6
2022-08-19,3410, Sentinel 1,12
2017-07-01,3555, Sentinel 1,6
2020-09-01,3206, Sentinel 1,6
2018-02-04,4097, Sentinel 1,6
2020-04-02,3626, Sentinel 1,12
2019-12-26,3534, Sentinel 1,6
2021-07-31,3606, Sentinel 1,12
2021-02-04,3727, Sentinel 1,6
2017-10-12,3622, Sentinel 1,6
2019-01-22,3602, Sentinel 1,6
2017-08-01,3747, Sentinel 1,6
2018-01-06,3456, Sentinel 1,12
2020-09-05,3622, Sentinel 1,12
2020-10-02,3566, Sentinel 1,6
2019-01-20,3626, Sentinel 1,12
2018-02-09,3687, Sentinel 1,6
2021-08-18,3717, Sentinel 1,12
2018-07-09,3948, Sentinel 2,5
2021-08-16,3865, Sentinel 1,6
2020-06-17,3962, Sentinel 2,10
2022-04-06,3921, Sentinel 2,5
2021-07-10,3943, Sentinel 2,10
2017-09-03,3474, Sentinel 1,12
2016-04-18,3592, Sentinel 1,12
2020-06-25,3571, Sentinel 1,12
2017-03-28,3638, Sentinel 1,6
2017-04-27,3558, Sentinel 1,6
2021-12-29,3704, Sentinel 1,12
2021-05-18,3746, Sentinel 1,6
2022-09-06,3676, Sentinel 2,5
2022-10-25,3390, Sentinel 1,12
2020-01-14,3824, Sentinel 1,6
2017-10-20,3608, Sentinel 1,12
2021-08-25,3801, Sentinel 1,12
2019-07-18,3550, Sentinel 1,12
2018-09-09,3899, Sentinel 2,10
2020-06-04,3781, Sentinel 1,6
2020-12-23,3810, Sentinel 1,12
2018-09-19,4038, Sentinel 2,10
2020-10-01,3505, Sentinel 1,6
2021-09-07,3772, Sentinel 1,12
2021-09-19,3586, Sentinel 1,12
2021-04-11,3289, Sentinel 1,6
2018-01-11,3898, Sentinel 1,6
2018-12-21,3675, Sentinel 1,12
2019-09-16,3490, Sentinel 1,12
2016-09-23,3173, Sentinel 1,6
2022-03-22,3962, Sentinel 2,5
2020-12-12,3416, Sentinel 1,6
2022-05-13,3962, Sentinel 2,10
2022-05-03,3890, Sentinel 2,10
2021-10-08,3875, Sentinel 1,6
2016-10-01,3193, Sentinel 1,12
2019-05-05,3612, Sentinel 1,6
2018-07-20,3544, Sentinel 1,6
2017-05-29,3475, Sentinel 1,12
2019-02-16,4087, Sentinel 1,6
2022-03-27,3958, Sentinel 2,10
2018-08-13,3704, Sentinel 1,6
2018-01-07,3668, Sentinel 1,12
2020-03-18,3665, Sentinel 1,6
2016-12-29,3404, Sentinel 1,6
2022-04-28,3858, Sentinel 2,10
2019-08-09,3589, Sentinel 1,6
2022-06-15,3942, Sentinel 2,10
2018-08-25,4030, Sentinel 2,5
2019-10-04,3706, Sentinel 2,10
2021-02-25,3524, Sentinel 1,12
2019-01-24,4246, Sentinel 1,6
2022-09-14,3652, Sentinel 1,12
2021-11-02,3643, Sentinel 1,6
2017-01-07,3518, Sentinel 1,12
2021-01-14,3514, Sentinel 1,12
2021-01-30,3660, Sentinel 1,6
2020-03-27,3554, Sentinel 1,12
2017-11-17,3743, Sentinel 1,6
2022-06-25,3817, Sentinel 2,5
2017-12-25,3775, Sentinel 1,12
2018-10-27,3687, Sentinel 1,12
2018-02-08,3570, Sentinel 1,6
2020-03-09,3734, Sentinel 1,12
2018-07-08,3781, Sentinel 1,6
