gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
264,-222600,-2813250,-49.5227705051847,64.3666690276743,15,15,SW,Akullersuup Sermia,AKULLERSUUP-QAMANAARSUUP,61,208,4758
265,183540,-2813700,-41.2685842221677,64.3878653466095,9,191,SE,Grulv,APUSEERSERPIA,43,187,13614
266,169457,-2816500,-41.5559980740908,64.3709859282036,16,83,SE,Grulv,GRAULV,43,187,4372
268,166900,-2818128,-41.6106283508838,64.358298487132,9,83,SE,Grulv,GRAULV,43,187,5202
269,-223885,-2824785,-49.5328105164717,64.2657424733119,33,16,SW,Kangiata Nunaata Sermia,KANGIATA_NUNAATA_SERMIA,61,207,5046
270,163810,-2831307,-41.6869077513105,64.2439463452945,56,192,SE,Grulv,GYLDENLOVE,43,188,3779
271,169410,-2844000,-41.5893513219918,64.1287287125683,31,237,SE,Fimbulgletsjer,GYLDENLOVE_S,43,220,3685
272,207600,-2843700,-40.8225166000636,64.1100258186741,3,73,SE,Apuseerserpia,SE_NONAME2,43,221,35169
274,181420,-2845300,-41.3500365522202,64.1117094964596,9,232,SE,Fimbulgletsjer,GYLDENLOVE_SS,43,220,12759
275,176820,-2846100,-41.4433071479391,64.1072328332032,17,237,SE,Fimbulgletsjer,GYLDENLOVE_S,43,220,9191
276,194000,-2853100,-41.1080275959307,64.0360375257819,3,73,SE,Sleipner,SE_NONAME2,43,189,24902
277,194500,-2853900,-41.1011213751999,64.0287864467634,3,73,SE,Sleipner,SE_NONAME2,43,189,24677
278,202650,-2855600,-40.9398270036495,64.0080126294454,17,73,SE,Sleipner,SE_NONAME2,43,221,26128
279,202900,-2866144,-40.9505369886495,63.9167698259744,18,73,SE,Sleipner,SE_NONAME2,43,221,17912
280,174950,-2865400,-41.5071768642811,63.9381974998581,9,128,SE,Fimbulgletsjer,FIMBULGETLSCHER,43,189,6208
281,182600,-2869100,-41.3563730228058,63.9023815355426,20,128,SE,Sleipner,FIMBULGETLSCHER,43,189,6032
283,211080,-2871600,-40.7956357669029,63.8625436352353,12,73,SE,Sleipner,SE_NONAME2,43,221,8218
284,163100,-2873200,-41.7511490120084,63.8759115328927,18,233,SE,A.P. Bernstorff Gletsjer,AP_BERNSTOFF_GLETSCHER,43,190,3837
286,159900,-2876140,-41.8178598260324,63.8529417151849,12,233,SE,A.P. Bernstorff Gletsjer,AP_BERNSTOFF_GLETSCHER,43,190,4835
289,215880,-2883500,-40.7179197948001,63.756128544139,8,73,SE,Sleipner,SE_NONAME2,43,222,4264
290,207950,-2886400,-40.8803144779575,63.7350131606015,8,73,SE,Sleipner,SE_NONAME2,43,223,4973
293,168950,-2896300,-41.6625300119,63.6714521029523,20,121,SE,Storebjrn,MAELKEVEJEN,43,191,6729
294,159100,-2911233,-41.8719677508067,63.5449393663334,10,126,SE,Thrym Gletsjer,SKINFAXE,43,224,411
