mid_date, v [m/yr], satellite, dt (days)
2021-07-25,2598, Sentinel 2,10
2020-05-11,2102, Sentinel 2,5
2021-10-01,2303, Sentinel 2,5
2019-06-16,2178, Sentinel 1,6
2019-08-15,2429, Sentinel 2,10
2020-03-30,2195, Sentinel 1,6
2018-07-05,2008, Sentinel 1,12
2021-07-04,3345, Sentinel 1,6
2019-08-10,2368, Sentinel 2,5
2018-03-01,2042, Sentinel 2,5
2020-10-01,2087, Sentinel 1,6
2017-09-03,2805, Sentinel 1,12
2019-05-02,1791, Sentinel 1,12
2020-05-05,1979, Sentinel 1,6
2020-07-20,2469, Sentinel 2,5
2019-10-02,2044, Sentinel 1,6
2020-12-14,2460, Sentinel 1,6
2020-04-06,2277, Sentinel 2,5
2021-10-01,2267, Sentinel 2,5
2021-11-26,1536, Sentinel 1,6
2019-09-14,2259, Sentinel 1,6
2017-08-15,2099, Sentinel 1,12
2019-09-20,1579, Sentinel 1,6
2022-03-30,2284, Sentinel 2,5
2020-08-20,2581, Sentinel 1,6
2020-05-31,1716, Sentinel 1,12
2021-11-25,3418, Sentinel 1,6
2020-10-20,1951, Sentinel 1,6
2019-05-14,2041, Sentinel 1,12
2016-10-25,2087, Sentinel 1,12
2022-05-29,2428, Sentinel 2,5
2017-07-19,2070, Sentinel 1,6
2022-07-22,2510, Sentinel 2,10
2020-10-07,2112, Sentinel 1,6
2019-06-27,2744, Sentinel 1,6
2019-09-19,1987, Sentinel 1,6
2021-09-13,2249, Sentinel 2,5
2019-08-22,2482, Sentinel 2,10
2020-07-20,2456, Sentinel 2,5
2017-11-04,1762, Sentinel 1,6
2022-10-18,2269, Sentinel 2,10
2019-07-13,2586, Sentinel 2,10
2022-10-10,2324, Sentinel 2,10
2018-06-06,2217, Sentinel 1,12
2019-12-25,2398, Sentinel 1,6
2020-09-17,2112, Sentinel 1,12
2017-11-07,1554, Sentinel 1,12
2018-07-09,2211, Sentinel 2,5
2020-08-03,2570, Sentinel 1,6
2020-11-01,1855, Sentinel 1,6
2019-07-11,2456, Sentinel 2,5
2022-04-09,2158, Sentinel 2,5
2020-07-03,2335, Sentinel 1,6
2020-12-13,2136, Sentinel 1,6
2019-03-08,1909, Sentinel 2,5
2020-03-18,2515, Sentinel 1,6
2022-07-20,2395, Sentinel 2,5
2021-05-06,1983, Sentinel 1,6
2017-08-05,2252, Sentinel 2,10
2022-07-22,2486, Sentinel 2,10
2021-07-18,2614, Sentinel 2,5
2021-03-25,3154, Sentinel 1,6
2017-09-18,1722, Sentinel 1,6
2021-10-16,2201, Sentinel 2,5
2018-10-09,2179, Sentinel 2,10
2021-06-22,2511, Sentinel 1,6
2017-06-07,1887, Sentinel 1,6
2021-10-15,1805, Sentinel 1,6
2021-06-20,2515, Sentinel 2,5
2019-07-10,2314, Sentinel 1,6
2019-07-27,1740, Sentinel 1,6
2016-11-16,1258, Sentinel 1,6
2022-05-05,2156, Sentinel 1,12
2021-08-17,2510, Sentinel 2,5
2020-02-23,1860, Sentinel 1,6
2018-07-23,2340, Sentinel 2,10
2017-10-24,1824, Sentinel 1,6
2018-08-27,2297, Sentinel 2,10
2020-08-24,2439, Sentinel 2,5
2016-10-23,1870, Sentinel 1,6
2020-06-06,1697, Sentinel 1,12
2019-09-25,1932, Sentinel 1,6
2022-04-01,2448, Sentinel 2,10
2021-04-21,2404, Sentinel 1,12
2021-12-25,3011, Sentinel 1,6
2021-03-07,2337, Sentinel 2,10
2017-11-28,2310, Sentinel 1,6
2021-01-17,2078, Sentinel 1,6
2017-08-21,2304, Sentinel 1,12
2022-07-02,2450, Sentinel 1,12
2020-07-08,2365, Sentinel 2,5
2021-04-17,1800, Sentinel 1,6
2020-12-27,2192, Sentinel 1,6
2018-12-19,2262, Sentinel 1,6
2018-10-12,2199, Sentinel 1,6
2021-08-24,2587, Sentinel 2,10
2018-11-12,2127, Sentinel 1,6
2018-06-29,2239, Sentinel 1,12
2022-07-12,2468, Sentinel 2,10
2021-07-02,2741, Sentinel 2,10
2019-06-24,2316, Sentinel 1,12
2020-06-03,2143, Sentinel 1,6
2015-06-28,2779, Sentinel 1,12
2019-07-18,2135, Sentinel 1,12
2018-08-12,2323, Sentinel 2,10
2019-06-19,2389, Sentinel 2,5
2021-04-11,1869, Sentinel 1,6
2017-01-08,1501, Sentinel 1,6
2019-06-03,2445, Sentinel 1,6
